naga kanthi mellacheruvu,@Biss i think so,2021-05-24 05:12:39,UCWKtszO3J40QPae0ikYBaUQ,https://youtube.com/channel/UCWKtszO3J40QPae0ikYBaUQ
Author,Message,Date,Channel ID,Channel
naga kanthi mellacheruvu,@Biss 8,2021-05-24 05:14:10,UCWKtszO3J40QPae0ikYBaUQ,https://youtube.com/channel/UCWKtszO3J40QPae0ikYBaUQ
Author,Message,Date,Channel ID,Channel
Sycamore,biss earnings,2021-05-24 05:14:24,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sycamore,biss balance,2021-05-24 05:14:53,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
naga kanthi mellacheruvu,#Biss give me some questions,2021-05-24 05:17:40,UCWKtszO3J40QPae0ikYBaUQ,https://youtube.com/channel/UCWKtszO3J40QPae0ikYBaUQ
Jak of all Tirades,@Biss dixi,2021-05-24 05:17:51,UCBghDBuKRD8kG7p0qg5jgRQ,https://youtube.com/channel/UCBghDBuKRD8kG7p0qg5jgRQ
naga kanthi mellacheruvu,@Biss Charli,2021-05-24 05:17:52,UCWKtszO3J40QPae0ikYBaUQ,https://youtube.com/channel/UCWKtszO3J40QPae0ikYBaUQ
Author,Message,Date,Channel ID,Channel
naga kanthi mellacheruvu,@Biss Charli (Charli D'Amelio),2021-05-24 05:18:42,UCWKtszO3J40QPae0ikYBaUQ,https://youtube.com/channel/UCWKtszO3J40QPae0ikYBaUQ
Author,Message,Date,Channel ID,Channel
naga kanthi mellacheruvu,@Biss Sundar (Sundar Pichai(Google CEO)),2021-05-24 05:20:55,UCWKtszO3J40QPae0ikYBaUQ,https://youtube.com/channel/UCWKtszO3J40QPae0ikYBaUQ
Author,Message,Date,Channel ID,Channel
Jak of all Tirades,yamcha @Biss ,2021-05-24 05:25:28,UCBghDBuKRD8kG7p0qg5jgRQ,https://youtube.com/channel/UCBghDBuKRD8kG7p0qg5jgRQ
Author,Message,Date,Channel ID,Channel
Sycamore,biss its goku mane,2021-05-24 05:27:14,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
naga kanthi mellacheruvu,"gray,blue,green @Biss",2021-05-24 05:29:15,UCWKtszO3J40QPae0ikYBaUQ,https://youtube.com/channel/UCWKtszO3J40QPae0ikYBaUQ
Author,Message,Date,Channel ID,Channel
Sycamore,biss your favorite color is orange,2021-05-24 05:30:35,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
naga kanthi mellacheruvu,@Biss,2021-05-24 05:30:56,UCWKtszO3J40QPae0ikYBaUQ,https://youtube.com/channel/UCWKtszO3J40QPae0ikYBaUQ
Author,Message,Date,Channel ID,Channel
Sycamore,biss earnings,2021-05-24 05:31:47,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sycamore,biss update wallet 42sjokkT9FmiWPqVzrWPFE5NCJXwt96bkBozHf4vgLR9hXyJDqKHEHKVscAARuD7in5wV1meEcSTJTanCTDzidTe2cFXS1F,2021-05-24 05:32:41,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Jak of all Tirades,@Biss bruh this prize money so low 👀,2021-05-24 05:34:57,UCBghDBuKRD8kG7p0qg5jgRQ,https://youtube.com/channel/UCBghDBuKRD8kG7p0qg5jgRQ
Author,Message,Date,Channel ID,Channel
Sycamore,biss earnings,2021-05-24 05:40:52,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Biss,$0.39. you can add an XMR wallet for payout by saying 'biss update wallet' @Sycamore ,2021-05-24 05:41:23,UC5Hy_B9AmTjoM0_e7l_yOkA,https://youtube.com/channel/UC5Hy_B9AmTjoM0_e7l_yOkA
Author,Message,Date,Channel ID,Channel
Sycamore,biss brick,2021-05-24 05:41:54,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Biss,Your wallet has been updated to ' sycamore @Biss ,2021-05-24 05:41:56,UC5Hy_B9AmTjoM0_e7l_yOkA,https://youtube.com/channel/UC5Hy_B9AmTjoM0_e7l_yOkA
Author,Message,Date,Channel ID,Channel
BeaniePudge,@Biss microsoft ,2021-05-24 05:45:56,UCcFLGSqN2FI3Ce7WwVz0OyA,https://youtube.com/channel/UCcFLGSqN2FI3Ce7WwVz0OyA
Sycamore,biss mircrosoft,2021-05-24 05:45:59,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sycamore,biss earnings,2021-05-24 05:47:20,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Biss,$0.39. you can add an XMR wallet for payout by saying 'biss update wallet' @Sycamore ,2021-05-24 05:47:57,UC5Hy_B9AmTjoM0_e7l_yOkA,https://youtube.com/channel/UC5Hy_B9AmTjoM0_e7l_yOkA
Author,Message,Date,Channel ID,Channel
Emily Edwards,yo Biss didnt you ask tha same question about 2 hours ago?,2021-05-24 06:40:29,UCDRtMrMiQGs0l-b_EEyryWw,https://youtube.com/channel/UCDRtMrMiQGs0l-b_EEyryWw
Author,Message,Date,Channel ID,Channel
Jake The Investor,@biss nigeria,2021-05-24 18:52:58,UC0s6SuFtYCikrvtEONwyH7Q,https://youtube.com/channel/UC0s6SuFtYCikrvtEONwyH7Q
Author,Message,Date,Channel ID,Channel
Jake The Investor,biss earnings,2021-05-24 18:54:09,UC0s6SuFtYCikrvtEONwyH7Q,https://youtube.com/channel/UC0s6SuFtYCikrvtEONwyH7Q
Author,Message,Date,Channel ID,Channel
Biss,$0.15. you can add an XMR wallet for payout by saying 'biss update wallet' @Jake The Investor ,2021-05-24 18:56:14,UC5Hy_B9AmTjoM0_e7l_yOkA,https://youtube.com/channel/UC5Hy_B9AmTjoM0_e7l_yOkA
Jake The Investor,biss charli,2021-05-24 18:56:26,UC0s6SuFtYCikrvtEONwyH7Q,https://youtube.com/channel/UC0s6SuFtYCikrvtEONwyH7Q
Author,Message,Date,Channel ID,Channel
Biss,"Congrats, your current earnings are : $0.35. Type 'biss earnings' for more info @Jake The Investor ",2021-05-24 18:56:44,UC5Hy_B9AmTjoM0_e7l_yOkA,https://youtube.com/channel/UC5Hy_B9AmTjoM0_e7l_yOkA
Author,Message,Date,Channel ID,Channel
Kishore,don't scam @Biss,2021-05-24 19:00:17,UC1twzNDFkhKP1vnXPY_HIrA,https://youtube.com/channel/UC1twzNDFkhKP1vnXPY_HIrA
Author,Message,Date,Channel ID,Channel
Jake The Investor,biss albany,2021-05-24 19:04:18,UC0s6SuFtYCikrvtEONwyH7Q,https://youtube.com/channel/UC0s6SuFtYCikrvtEONwyH7Q
Author,Message,Date,Channel ID,Channel
Biss,"Congrats, your current earnings are : $1.60. Type 'biss earnings' for more info @Jake The Investor ",2021-05-24 19:04:44,UC5Hy_B9AmTjoM0_e7l_yOkA,https://youtube.com/channel/UC5Hy_B9AmTjoM0_e7l_yOkA
Author,Message,Date,Channel ID,Channel
Jake The Investor,biss 2000,2021-05-24 19:06:47,UC0s6SuFtYCikrvtEONwyH7Q,https://youtube.com/channel/UC0s6SuFtYCikrvtEONwyH7Q
Author,Message,Date,Channel ID,Channel
Jak of all Tirades,2004 @Biss ,2021-05-24 19:07:33,UCBghDBuKRD8kG7p0qg5jgRQ,https://youtube.com/channel/UCBghDBuKRD8kG7p0qg5jgRQ
Jake The Investor,biss 1999,2021-05-24 19:07:35,UC0s6SuFtYCikrvtEONwyH7Q,https://youtube.com/channel/UC0s6SuFtYCikrvtEONwyH7Q
Author,Message,Date,Channel ID,Channel
